# lambda_A, throughput  (3xAg mirror x optics x grism x QE)
1.492500000000000000e+04,4.953887981652238537e-01
1.495000000000000000e+04,4.954572803224353561e-01
1.497500000000000000e+04,4.955257364616674765e-01
1.500000000000000000e+04,4.955941670714251734e-01
1.502500000000000000e+04,4.955361106269045579e-01
1.505000000000000000e+04,4.954780473781922323e-01
1.507500000000000000e+04,4.954199777382755077e-01
1.510000000000000000e+04,4.953619020950752461e-01
1.512500000000000000e+04,4.953038208129672548e-01
1.515000000000000000e+04,4.952457342342119762e-01
1.517500000000000000e+04,4.951876426802957476e-01
1.520000000000000000e+04,4.951295464531924040e-01
1.522500000000000000e+04,4.950714458365473858e-01
1.525000000000000000e+04,4.950133410967895164e-01
1.527500000000000000e+04,4.949552324841774431e-01
1.530000000000000000e+04,4.948971202337794639e-01
1.532500000000000000e+04,4.948390045663965120e-01
1.535000000000000000e+04,4.947808856894275187e-01
1.537500000000000000e+04,4.947227637976838177e-01
1.540000000000000000e+04,4.946646390741516464e-01
1.542500000000000000e+04,4.946065116907111814e-01
1.545000000000000000e+04,4.945483818088099448e-01
1.547500000000000000e+04,4.944902495800964637e-01
1.550000000000000000e+04,4.944321151470145170e-01
1.552500000000000000e+04,4.943739786433621330e-01
1.555000000000000000e+04,4.943158401948162806e-01
1.557500000000000000e+04,4.942576999194258081e-01
1.560000000000000000e+04,4.941995579280745177e-01
1.562500000000000000e+04,4.941414143249158730e-01
1.565000000000000000e+04,4.940832692077814503e-01
1.567500000000000000e+04,4.940251226685650199e-01
1.570000000000000000e+04,4.939669747935827582e-01
1.572500000000000000e+04,4.939088256639114771e-01
1.575000000000000000e+04,4.938506753557069251e-01
1.577500000000000000e+04,4.937925239405026034e-01
1.580000000000000000e+04,4.937343714854904309e-01
1.582500000000000000e+04,4.936762180537833111e-01
1.585000000000000000e+04,4.936180637046639896e-01
1.587500000000000000e+04,4.935599084938165348e-01
1.590000000000000000e+04,4.935017524735456629e-01
1.592500000000000000e+04,4.934435956929807410e-01
1.595000000000000000e+04,4.933854381982697435e-01
1.597500000000000000e+04,4.933272800327590524e-01
1.600000000000000000e+04,4.932691212371644873e-01
1.602500000000000000e+04,4.932109618497304004e-01
1.605000000000000000e+04,4.931528019063796675e-01
1.607500000000000000e+04,4.930946414408549638e-01
1.610000000000000000e+04,4.930364804848509364e-01
1.612500000000000000e+04,4.929783190681383265e-01
1.615000000000000000e+04,4.929201572186808211e-01
1.617500000000000000e+04,4.928619949627447427e-01
1.620000000000000000e+04,4.928038323250025221e-01
1.622500000000000000e+04,4.927456693286286216e-01
1.625000000000000000e+04,4.926875059953911284e-01
1.627500000000000000e+04,4.926293423457366316e-01
1.630000000000000000e+04,4.925711783988709902e-01
1.632500000000000000e+04,4.925130141728340516e-01
1.635000000000000000e+04,4.924548496845709278e-01
1.637500000000000000e+04,4.923966849499977760e-01
1.640000000000000000e+04,4.923385199840651927e-01
1.642500000000000000e+04,4.922803548008161112e-01
1.645000000000000000e+04,4.922221894134411468e-01
1.647500000000000000e+04,4.921640238343301665e-01
1.650000000000000000e+04,4.921058580751209166e-01
1.652500000000000000e+04,4.920476921467452636e-01
1.655000000000000000e+04,4.919895260594709385e-01
1.657500000000000000e+04,4.919313598229427265e-01
1.660000000000000000e+04,4.918731934462199917e-01
1.662500000000000000e+04,4.918150269378121497e-01
1.665000000000000000e+04,4.917568603057122512e-01
1.667500000000000000e+04,4.916986935574281792e-01
1.670000000000000000e+04,4.916405267000119039e-01
1.672500000000000000e+04,4.915823597400875711e-01
1.675000000000000000e+04,4.915241926838771480e-01
1.677500000000000000e+04,4.914660255372250153e-01
1.680000000000000000e+04,4.914078583056206151e-01
1.682500000000000000e+04,4.913496909942206003e-01
1.685000000000000000e+04,4.912915236078681525e-01
1.687500000000000000e+04,4.912333561511129099e-01
1.690000000000000000e+04,4.911751886282279544e-01
1.692500000000000000e+04,4.911170210432274641e-01
1.695000000000000000e+04,4.910588533998815342e-01
1.697500000000000000e+04,4.910006857017314430e-01
1.700000000000000000e+04,4.909425179521041405e-01
1.702500000000000000e+04,4.908843501541237386e-01
1.705000000000000000e+04,4.908261823107254451e-01
1.707500000000000000e+04,4.907680144246659437e-01
1.710000000000000000e+04,4.907098464985346631e-01
1.712500000000000000e+04,4.906516785347638243e-01
1.715000000000000000e+04,4.905935105356382109e-01
1.717500000000000000e+04,4.905353425033036618e-01
1.720000000000000000e+04,4.904771744397758981e-01
1.722500000000000000e+04,4.904190063469482386e-01
1.725000000000000000e+04,4.903608382265991494e-01
1.727500000000000000e+04,4.903026700803992943e-01
1.730000000000000000e+04,4.902445019099175849e-01
1.732500000000000000e+04,4.901863337166278978e-01
1.735000000000000000e+04,4.901281655019147365e-01
1.737500000000000000e+04,4.900699972670784499e-01
1.740000000000000000e+04,4.900118290133403387e-01
1.742500000000000000e+04,4.899536607418477074e-01
1.745000000000000000e+04,4.898954924536784161e-01
1.747500000000000000e+04,4.898373241498444886e-01
1.750000000000000000e+04,4.897791558312968307e-01
1.752500000000000000e+04,4.897209874989285616e-01
1.755000000000000000e+04,4.896628191535785102e-01
1.757500000000000000e+04,4.896046507960347127e-01
1.760000000000000000e+04,4.895464824270372994e-01
1.762500000000000000e+04,4.894883140472813809e-01
1.765000000000000000e+04,4.894301456574201015e-01
1.767500000000000000e+04,4.893719772580668037e-01
1.770000000000000000e+04,4.893138088497976379e-01
1.772500000000000000e+04,4.892556404331536712e-01
1.775000000000000000e+04,4.891974720086433304e-01
