# lambda_A, QE  (e2v CCD + Teledyne H2RG blended by a 1.0um dichroic)
1.007500000000000000e+04,6.136153465086207071e-01
1.010000000000000000e+04,6.123718620152966974e-01
1.012500000000000000e+04,6.115501054302895367e-01
1.015000000000000000e+04,6.111354780348774440e-01
1.017500000000000000e+04,6.111120883187438624e-01
1.020000000000000000e+04,6.114628999014657396e-01
1.022500000000000000e+04,6.121698882863533253e-01
1.025000000000000000e+04,6.132142036389286455e-01
1.027500000000000000e+04,6.145763367741827743e-01
1.030000000000000000e+04,6.162362856049019566e-01
1.032500000000000000e+04,6.181737194410162894e-01
1.035000000000000000e+04,6.203681387279402770e-01
1.037500000000000000e+04,6.227990280593778127e-01
1.040000000000000000e+04,6.254460005851423254e-01
1.042500000000000000e+04,6.282889322448765856e-01
1.045000000000000000e+04,6.313080845820382425e-01
1.047500000000000000e+04,6.344842152177997407e-01
1.050000000000000000e+04,6.377986753813964516e-01
1.052500000000000000e+04,6.423998726172079898e-01
1.055000000000000000e+04,6.469913951176642364e-01
1.057500000000000000e+04,6.515630176657816186e-01
1.060000000000000000e+04,6.561053238113451203e-01
1.062500000000000000e+04,6.606097046600497569e-01
1.065000000000000000e+04,6.650683501551656329e-01
1.067500000000000000e+04,6.694742337282084677e-01
1.070000000000000000e+04,6.738210912055900836e-01
1.072500000000000000e+04,6.781033948483544682e-01
1.075000000000000000e+04,6.823163233751202705e-01
1.077500000000000000e+04,6.864557287774933902e-01
1.080000000000000000e+04,6.905181006856235815e-01
1.082500000000000000e+04,6.945005289822172578e-01
1.085000000000000000e+04,6.984006652988457020e-01
1.087500000000000000e+04,7.022166839611804212e-01
1.090000000000000000e+04,7.059472428818622802e-01
1.092500000000000000e+04,7.095914448327648172e-01
1.095000000000000000e+04,7.131487994637919492e-01
1.097500000000000000e+04,7.166191863741081525e-01
1.100000000000000000e+04,7.200028194845984331e-01
1.102500000000000000e+04,7.234612931066569663e-01
1.105000000000000000e+04,7.268161085750292072e-01
1.107500000000000000e+04,7.300697211651894225e-01
1.110000000000000000e+04,7.332247090938852629e-01
1.112500000000000000e+04,7.362837490001223895e-01
1.115000000000000000e+04,7.392495935461850243e-01
1.117500000000000000e+04,7.421250510660301059e-01
1.120000000000000000e+04,7.449129671751428816e-01
1.122500000000000000e+04,7.478954636852989113e-01
1.125000000000000000e+04,7.507637432461337079e-01
1.127500000000000000e+04,7.535233758704014129e-01
1.130000000000000000e+04,7.561797299911864334e-01
1.132500000000000000e+04,7.587379714115761731e-01
1.135000000000000000e+04,7.612030635134927614e-01
1.137500000000000000e+04,7.635797685597778273e-01
1.140000000000000000e+04,7.658726499371799612e-01
1.142500000000000000e+04,7.680860752011142711e-01
1.145000000000000000e+04,7.702242197958422132e-01
1.147500000000000000e+04,7.722910713359174562e-01
1.150000000000000000e+04,7.742904343463047345e-01
1.152500000000000000e+04,7.762259353694345165e-01
1.155000000000000000e+04,7.781010283575933162e-01
1.157500000000000000e+04,7.799190002784495146e-01
1.160000000000000000e+04,7.816829768701751835e-01
1.162500000000000000e+04,7.833959284905772646e-01
1.165000000000000000e+04,7.850606760118998828e-01
1.167500000000000000e+04,7.866798967195456349e-01
1.170000000000000000e+04,7.882561301789253738e-01
1.172500000000000000e+04,7.897917840399988343e-01
1.175000000000000000e+04,7.912891397538848182e-01
1.177500000000000000e+04,7.927503581802037846e-01
1.180000000000000000e+04,7.941774850676337483e-01
1.182500000000000000e+04,7.955724563935435700e-01
1.185000000000000000e+04,7.969371035515337987e-01
1.187500000000000000e+04,7.982731583783414520e-01
1.190000000000000000e+04,7.995822580138413072e-01
1.192500000000000000e+04,8.008659495898617919e-01
1.195000000000000000e+04,8.021256947452515274e-01
1.197500000000000000e+04,8.033628739661071716e-01
1.200000000000000000e+04,8.045787907513293202e-01
1.202500000000000000e+04,8.050707976187609916e-01
1.205000000000000000e+04,8.055433972034904411e-01
1.207500000000000000e+04,8.059977335276584665e-01
1.210000000000000000e+04,8.064348847710887114e-01
1.212500000000000000e+04,8.068558668736104389e-01
1.215000000000000000e+04,8.072616369625276178e-01
1.217500000000000000e+04,8.076530966109858323e-01
1.220000000000000000e+04,8.080310949331697135e-01
1.222500000000000000e+04,8.083964315223768349e-01
1.225000000000000000e+04,8.087498592380808482e-01
1.227500000000000000e+04,8.090920868480911965e-01
1.230000000000000000e+04,8.094237815319020868e-01
1.232500000000000000e+04,8.097455712512361403e-01
1.235000000000000000e+04,8.100580469937087580e-01
1.237500000000000000e+04,8.103617648954062336e-01
1.240000000000000000e+04,8.106572482480415287e-01
1.242500000000000000e+04,8.109449893961878653e-01
1.245000000000000000e+04,8.112254515299344160e-01
1.247500000000000000e+04,8.114990703781238546e-01
1.250000000000000000e+04,8.117662558071603307e-01
1.252500000000000000e+04,8.120273933301841440e-01
1.255000000000000000e+04,8.122828455312287588e-01
1.257500000000000000e+04,8.125329534087856187e-01
1.260000000000000000e+04,8.127780376430161491e-01
1.262500000000000000e+04,8.130183997906701432e-01
1.265000000000000000e+04,8.132543234115827691e-01
1.267500000000000000e+04,8.134860751304490156e-01
1.270000000000000000e+04,8.137139056374014245e-01
1.272500000000000000e+04,8.139380506307453134e-01
1.275000000000000000e+04,8.141587317050449357e-01
1.277500000000000000e+04,8.143761571875959282e-01
1.280000000000000000e+04,8.145905229261654057e-01
1.282500000000000000e+04,8.148020130307342956e-01
1.285000000000000000e+04,8.150108005718383897e-01
1.287500000000000000e+04,8.152170482379649252e-01
1.290000000000000000e+04,8.154209089543340561e-01
1.292500000000000000e+04,8.156225264652724460e-01
1.295000000000000000e+04,8.158220358822633189e-01
1.297500000000000000e+04,8.160195641996482729e-01
1.300000000000000000e+04,8.162152307798457018e-01
1.302500000000000000e+04,8.164091478098517429e-01
1.305000000000000000e+04,8.166014207306869777e-01
1.307500000000000000e+04,8.167921486413644017e-01
