# lambda_A, I_lambda[erg/s/cm2/A/arcsec2]  (CALSPEC solar x Leinert-1998 norm + IPD thermal)
1.595000000000000000e+04,9.684593038409542737e-19
1.597500000000000000e+04,9.607271356918985668e-19
1.600000000000000000e+04,9.564790756926950274e-19
1.602500000000000000e+04,9.519265177399959819e-19
1.605000000000000000e+04,9.493722590013514759e-19
1.607500000000000000e+04,9.504108791146066640e-19
1.610000000000000000e+04,9.189866973138298026e-19
1.612500000000000000e+04,9.305333448537004003e-19
1.615000000000000000e+04,9.281633765465018762e-19
1.617500000000000000e+04,9.191779052523726602e-19
1.620000000000000000e+04,9.119635989501875031e-19
1.622500000000000000e+04,9.230723181381276142e-19
1.625000000000000000e+04,9.340255461833020896e-19
1.627500000000000000e+04,9.359527802097573355e-19
1.630000000000000000e+04,9.283997787308483563e-19
1.632500000000000000e+04,9.205495228490571565e-19
1.635000000000000000e+04,9.071831688370313470e-19
1.637500000000000000e+04,8.855681758870901739e-19
1.640000000000000000e+04,8.712086537611972843e-19
1.642500000000000000e+04,8.689212955855173264e-19
1.645000000000000000e+04,8.741304729199562403e-19
1.647500000000000000e+04,8.917613687964077846e-19
1.650000000000000000e+04,8.787713355708019903e-19
1.652500000000000000e+04,8.773022569630184874e-19
1.655000000000000000e+04,8.849443819648100896e-19
1.657500000000000000e+04,8.841149221719945645e-19
1.660000000000000000e+04,8.767286600308799775e-19
1.662500000000000000e+04,8.776335615403338951e-19
1.665000000000000000e+04,8.685598890154310153e-19
1.667500000000000000e+04,8.525074000628827276e-19
1.670000000000000000e+04,8.629017930456546289e-19
1.672500000000000000e+04,8.330049160337049350e-19
1.675000000000000000e+04,8.442522478987489109e-19
1.677500000000000000e+04,8.308073334252198267e-19
1.680000000000000000e+04,8.076465756115428363e-19
1.682500000000000000e+04,7.863962635765150721e-19
1.685000000000000000e+04,8.234407923667413728e-19
1.687500000000000000e+04,8.254016170116197179e-19
1.690000000000000000e+04,8.194989594120462584e-19
1.692500000000000000e+04,8.312953401712655476e-19
1.695000000000000000e+04,8.256299089427334152e-19
1.697500000000000000e+04,8.220787278739770552e-19
1.700000000000000000e+04,8.103922777940259902e-19
1.702500000000000000e+04,8.011812632413244091e-19
1.705000000000000000e+04,8.030386992064945446e-19
1.707500000000000000e+04,7.972742911679284770e-19
1.710000000000000000e+04,7.950491368313470292e-19
1.712500000000000000e+04,7.652963514438420553e-19
1.715000000000000000e+04,7.970925407745127401e-19
1.717500000000000000e+04,7.893476756761937926e-19
1.720000000000000000e+04,7.791210276646831791e-19
1.722500000000000000e+04,7.756459819577509794e-19
1.725000000000000000e+04,7.548246031367143661e-19
1.727500000000000000e+04,7.650894767875586110e-19
1.730000000000000000e+04,7.668346177446562436e-19
1.732500000000000000e+04,7.524297012967287679e-19
1.735000000000000000e+04,7.104077077765831451e-19
1.737500000000000000e+04,7.096203946820501508e-19
1.740000000000000000e+04,7.367878833117315735e-19
1.742500000000000000e+04,7.351643897925601373e-19
1.745000000000000000e+04,7.430622097325805097e-19
1.747500000000000000e+04,7.304657077034233118e-19
1.750000000000000000e+04,7.305403370836406719e-19
1.752500000000000000e+04,7.276323330228007786e-19
1.755000000000000000e+04,7.346878383907649538e-19
1.757500000000000000e+04,7.315418737984353117e-19
1.760000000000000000e+04,7.291253803051430042e-19
1.762500000000000000e+04,7.081534660708872476e-19
1.765000000000000000e+04,7.207749784773720708e-19
1.767500000000000000e+04,7.204301611766304841e-19
1.770000000000000000e+04,7.123345231511748276e-19
