lam_A,r_arcsec,ee
1.200000000000000000e+04,1.183333333333333348e+00,9.362866854938192152e-01
1.200000000000000000e+04,1.288888888888888973e+00,9.366563552488749167e-01
1.200000000000000000e+04,1.394444444444444375e+00,9.367543434825387205e-01
1.200000000000000000e+04,1.500000000000000000e+00,nan
1.600000000000000000e+04,2.000000000000000042e-02,8.378479545390940531e-02
1.600000000000000000e+04,4.000000000000000083e-02,2.831522921503980550e-01
1.600000000000000000e+04,5.999999999999999778e-02,4.998076976847106168e-01
1.600000000000000000e+04,8.000000000000000167e-02,6.554954648198476619e-01
1.600000000000000000e+04,1.000000000000000056e-01,7.196426371986881509e-01
1.600000000000000000e+04,1.200000000000000094e-01,7.300103348030599903e-01
1.600000000000000000e+04,1.399999999999999856e-01,7.349180589513999440e-01
1.600000000000000000e+04,1.600000000000000033e-01,7.586508388853878682e-01
1.600000000000000000e+04,1.799999999999999933e-01,7.932817492230679335e-01
1.600000000000000000e+04,1.999999999999999833e-01,8.214209760420445594e-01
1.600000000000000000e+04,2.200000000000000011e-01,8.353384940612404996e-01
1.600000000000000000e+04,2.399999999999999911e-01,8.404659193253362082e-01
1.600000000000000000e+04,2.600000000000000089e-01,8.448122566267556310e-01
1.600000000000000000e+04,2.800000000000000266e-01,8.502584626612841312e-01
1.600000000000000000e+04,3.000000000000000444e-01,8.540677277803809808e-01
1.600000000000000000e+04,3.200000000000000067e-01,8.552636801540025591e-01
1.600000000000000000e+04,3.400000000000000244e-01,8.568877944994149898e-01
1.600000000000000000e+04,3.600000000000000422e-01,8.624099899396087121e-01
1.600000000000000000e+04,3.800000000000000044e-01,8.716138293792603520e-01
1.600000000000000000e+04,4.000000000000000222e-01,8.811306827492395577e-01
1.600000000000000000e+04,4.200000000000000400e-01,8.876954140297219631e-01
1.600000000000000000e+04,4.400000000000000022e-01,8.912605629632921467e-01
1.600000000000000000e+04,4.600000000000000200e-01,8.938888509100836322e-01
